model,accuracy,best_params,training_time,shap_time
LogisticRegression,0.7734375,{'clf__C': 0.1},8.187968492507935,0.0009961128234863281
RidgeClassifier,0.7760416666666666,{'clf__alpha': 0.1},6.5671422481536865,0.0008113384246826172
SGDClassifier,0.7526041666666666,"{'clf__alpha': 0.001, 'clf__loss': 'log_loss'}",5.596673250198364,0.0010552406311035156
SVC,0.76953125,"{'clf__C': 1, 'clf__kernel': 'linear'}",0.9411294460296631,0.012480497360229492
LinearSVC,0.7721354166666666,{'clf__C': 0.1},0.21969342231750488,0.0010154247283935547
DecisionTree,0.7708333333333334,{'clf__max_depth': 3},0.48993539810180664,0.02260875701904297
RandomForest,0.9244791666666666,"{'clf__max_depth': 10, 'clf__n_estimators': 200}",9.341028451919556,50.734071254730225
ExtraTrees,0.9296875,"{'clf__max_depth': None, 'clf__n_estimators': 200}",4.999173879623413,86.96169471740723
GradientBoosting,0.8515625,"{'clf__learning_rate': 0.05, 'clf__n_estimators': 100}",5.406901597976685,1.4346561431884766
AdaBoost,0.79296875,{'clf__n_estimators': 100},4.331453084945679,468.7676327228546
XGBoost,0.9166666666666666,{'clf__n_estimators': 100},958.6179492473602,3.5380172729492188
LightGBM,0.921875,"{'clf__max_depth': 10, 'clf__n_estimators': 200}",839.2927350997925,3.525440216064453
CatBoost,0.83203125,"{'clf__depth': 4, 'clf__iterations': 200}",7.548392057418823,1.2059483528137207
KNN,0.7903645833333334,{'clf__n_neighbors': 7},1.064436912536621,833.2829542160034
GaussianNB,0.7669270833333334,{},1.272043228149414,3.4627418518066406
MLP,0.8177083333333334,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50,)}",7.848148822784424,9.13935136795044
