model,accuracy,best_params,training_time,shap_time
LogisticRegression,0.9617504051863858,{'clf__C': 1},1.464282512664795,0.0019354820251464844
RidgeClassifier,0.9542949756888168,{'clf__alpha': 0.1},0.9587535858154297,0.0013470649719238281
SGDClassifier,0.9614262560777957,"{'clf__alpha': 0.001, 'clf__loss': 'log_loss'}",0.9326248168945312,0.0013027191162109375
SVC,0.9630470016207455,"{'clf__C': 1, 'clf__kernel': 'linear'}",0.573326587677002,0.0007960796356201172
LinearSVC,0.9636952998379255,{'clf__C': 1},0.0948183536529541,0.0013272762298583984
DecisionTree,0.9905996758508914,{'clf__max_depth': None},0.08512616157531738,0.1115419864654541
RandomForest,0.993192868719611,"{'clf__max_depth': None, 'clf__n_estimators': 200}",1.6669058799743652,49.780818462371826
ExtraTrees,0.9905996758508914,"{'clf__max_depth': None, 'clf__n_estimators': 100}",0.9119153022766113,38.90391278266907
GradientBoosting,0.9922204213938411,"{'clf__learning_rate': 0.1, 'clf__n_estimators': 200}",2.4993066787719727,3.0589427947998047
AdaBoost,0.9828200972447326,{'clf__n_estimators': 100},1.0056068897247314,420.1769309043884
XGBoost,0.9928687196110211,{'clf__n_estimators': 100},44.88125967979431,4.03406834602356
LightGBM,0.9922204213938411,"{'clf__max_depth': 5, 'clf__n_estimators': 200}",1012.9615383148193,8.452096939086914
CatBoost,0.9928687196110211,"{'clf__depth': 6, 'clf__iterations': 500}",13.491339921951294,29.08640170097351
KNN,0.9737439222042139,{'clf__n_neighbors': 3},1.3751723766326904,125.2126054763794
GaussianNB,0.16110210696920582,{},0.8706459999084473,17.54735493659973
MLP,0.9896272285251215,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,)}",31.179865837097168,44.87033033370972
