sepal-length,sepal-width,petal-length,petal-width
0.64679235,-0.56813395,1.7385964,1.8245175
0.8059214,1.1108071,1.6760104,-1.3687712
0.72564936,0.9440501,-0.39530438,2.3465476
0.68380326,-0.914675,1.8242173,1.7581227
0.52781624,-0.68763435,2.1151361,-1.2230226
-0.37198174,0.058270536,1.6460936,1.1505673
0.72804165,0.5943063,1.9715337,-1.2120738
-0.37198174,0.058270536,1.6460936,1.1505673
-0.26251197,0.18835601,1.708216,1.0696176
-0.20004785,0.18835601,1.7183684,1.0696176
0.0,0.0,3.0505407,0.07093828
0.0,0.0,3.0505407,0.07093828
0.0,0.0,3.0505407,0.07093828
0.0,0.0,3.0505407,0.07093828
0.0,0.0,3.0505407,0.07093828
0.74193084,-0.914675,1.8498082,1.7581227
0.64679235,-0.56813395,1.7385964,1.8245175
0.5828881,0.5664419,2.285691,-1.4762766
0.7049198,-0.56813395,1.7641873,1.8245175
-1.0762688,0.725544,1.5287714,1.6700119
-1.1944613,0.19073986,1.6124264,1.0579559
-0.26251197,0.12579863,1.708216,1.0696176
1.1882755,0.16734128,1.2610917,1.2321992
0.77274173,0.18835601,1.6807557,1.1950969
1.2206475,0.053221527,1.5530331,1.1650037
0.0,0.0,3.0505407,0.07093828
0.0,0.0,3.0505407,0.07093828
0.0,0.0,3.0505407,0.07093828
0.0,0.0,3.0505407,0.07093828
0.0,0.0,3.0505407,0.07093828
0.655195,-0.6684091,1.830469,1.8245175
-1.0762688,0.725544,1.5287714,1.6700119
0.7133225,-0.6684091,1.8560599,1.8245175
0.68380326,-0.914675,1.8242173,1.7581227
0.64679235,-0.56813395,1.7385964,1.8245175
0.34203377,0.16734128,1.4753858,0.7674303
1.2206475,0.16734128,1.5156734,1.1074702
-0.20004785,0.08503338,1.7002329,1.1799421
1.135371,0.12579863,1.6807557,1.1750517
0.89644974,0.16734128,1.7678362,1.0141047
0.0,0.0,3.0505407,0.07093828
0.0,0.0,3.0505407,0.07093828
0.0,0.0,3.0505407,0.07093828
0.0,0.0,3.0505407,0.07093828
0.74193084,-0.914675,1.8498082,1.7581227
0.68380326,-0.914675,1.8242173,1.7581227
0.5951591,0.91258115,0.6122744,2.0454323
0.68380326,-0.914675,1.8242173,1.7581227
-0.7862577,1.108134,-0.69792736,1.0257766
1.2206475,0.12579863,1.5228585,1.1522396
1.2006024,0.18835601,1.5977275,1.1928483
1.1153259,0.18835601,1.6807557,1.1950969
1.1882755,0.026458692,1.1935894,1.2468921
-0.20004785,0.19073986,1.7002329,1.1799421
0.0,0.0,3.0505407,0.07093828
0.0,0.0,3.0505407,0.07093828
0.0,0.0,3.0505407,0.07093828
0.0,0.0,3.0505407,0.07093828
0.0,0.0,3.0505407,0.07093828
0.655195,-0.6684091,1.830469,1.8245175
0.64679235,-0.56813395,1.7385964,1.8245175
0.69386,0.84154725,2.3707018,-1.4348148
0.6437366,0.70639324,1.587169,1.8472037
0.68380326,-0.914675,1.8242173,1.7581227
0.92425865,0.20554018,1.3202996,-1.715965
0.42500797,0.08503338,1.4617467,1.2533606
1.2206475,0.16734128,1.455439,0.805059
-0.20004785,0.19073986,1.7002329,1.1799421
0.3824494,-0.4144341,1.5755142,1.190135
0.0,0.0,3.0505407,0.07093828
0.0,0.0,3.0505407,0.07093828
0.0,0.0,3.0505407,0.07093828
0.0,0.0,3.0505407,0.07093828
0.0,0.0,3.0505407,0.07093828
-1.0177442,0.97069496,0.6935154,1.8682405
0.64679235,-0.56813395,1.7385964,1.8245175
0.7049198,-0.56813395,1.7641873,1.8245175
-1.0794033,-0.55517346,1.692579,1.6473256
0.61451423,1.0278643,0.8851976,1.7714218
0.43521604,0.08503338,1.7151285,1.2827429
1.135371,0.12579863,1.6807557,1.1750517
-0.20004785,0.19073986,1.7002329,1.1799421
-1.6505494,-0.3606404,1.3538895,0.90112287
-0.37198174,0.19073986,1.6760867,1.1728443
0.0,0.0,3.0505407,0.07093828
0.0,0.0,3.0505407,0.07093828
0.0,0.0,3.0505407,0.07093828
0.0,0.0,3.0505407,0.07093828
0.0,0.0,3.0505407,0.07093828
0.74193084,-0.914675,1.8498082,1.7581227
0.68380326,-0.914675,1.8242173,1.7581227
-0.99838907,1.0859784,0.9664386,1.59423
0.70186406,0.70639324,1.61276,1.8472037
0.6437366,0.7976612,1.5959365,1.7471682
1.1091807,-0.21345466,1.5610421,1.2435582
0.41610944,0.12579863,1.5547513,1.1146109
-0.20004785,0.19073986,1.7002329,1.1799421
0.8719184,-0.44624597,1.3979106,1.0723958
-1.6505494,-0.15966101,1.4074337,0.93186754
0.0,0.0,3.0505407,0.07093828
0.0,0.0,3.0505407,0.07093828
0.0,0.0,3.0505407,0.07093828
0.0,0.0,3.0505407,0.07093828
0.74193084,-0.914675,1.8498082,1.7581227
0.70186406,0.70639324,1.61276,1.8472037
0.7049198,-0.56813395,1.7641873,1.8245175
0.7748821,-0.7918924,0.41942403,1.9365608
0.6437366,0.82167655,1.5959365,1.7231529
-0.23771021,0.08503338,1.4942659,1.1711235
-0.26251197,0.19073986,1.6900804,1.1799421
0.34203377,0.22989866,1.5356202,1.0698414
-0.37812692,-0.21345466,1.5745084,1.1109811
-0.30907285,0.16734128,1.4950639,0.9670407
0.0,0.0,3.0505407,0.07093828
0.0,0.0,3.0505407,0.07093828
0.0,0.0,3.0505407,0.07093828
0.0,0.0,3.0505407,0.07093828
0.0,0.0,3.0505407,0.07093828
0.68380326,-0.914675,1.8242173,1.7581227
0.70186406,0.70639324,1.61276,1.8472037
0.75007707,-0.91874814,1.8457351,1.7581227
0.85813934,-0.77976966,-0.67646134,2.2376761
-0.26251197,0.058270536,1.6600873,1.1576651
-1.7057891,0.05067952,1.4569284,0.96584815
-1.1855628,0.058270536,1.433967,1.062316
1.2206475,0.16734128,1.5905424,1.1280336
-0.20004785,0.12579863,1.7183684,1.0696176
0.0,0.0,3.0505407,0.07093828
0.0,0.0,3.0505407,0.07093828
0.0,0.0,3.0505407,0.07093828
0.0,0.0,3.0505407,0.07093828
0.0,0.0,3.0505407,0.07093828
0.655195,-0.6684091,1.830469,1.8245175
0.68380326,-0.914675,1.8242173,1.7581227
0.64679235,-0.56813395,1.7385964,1.8245175
0.6437366,0.70639324,1.587169,1.8472037
0.7049198,-0.56813395,1.7641873,1.8245175
-0.37198174,0.058270536,1.6460936,1.1505673
-1.1585872,0.16734128,1.4174099,0.8940432
1.2206475,0.08503338,1.504723,1.2625642
0.41610944,0.18835601,1.4798822,1.0940473
1.0647713,0.26018167,-0.1270192,0.15009911
0.0,0.0,3.0505407,0.07093828
0.0,0.0,3.0505407,0.07093828
0.0,0.0,3.0505407,0.07093828
0.0,0.0,3.0505407,0.07093828
0.0,0.0,3.0505407,0.07093828
