model,accuracy,best_params,training_time,shap_time
LogisticRegression,0.9795918367346939,{'clf__C': 10},1.6274785995483398,0.0005803108215332031
RidgeClassifier,0.8435374149659864,{'clf__alpha': 10.0},0.7498838901519775,0.0004894733428955078
SGDClassifier,0.9659863945578231,"{'clf__alpha': 0.001, 'clf__loss': 'hinge'}",0.793337345123291,0.0005033016204833984
SVC,0.9795918367346939,"{'clf__C': 1, 'clf__kernel': 'linear'}",0.6690812110900879,0.0008633136749267578
LinearSVC,0.9591836734693877,{'clf__C': 10},0.70743727684021,0.0004940032958984375
DecisionTree,0.9863945578231292,{'clf__max_depth': None},0.6697120666503906,0.0057413578033447266
RandomForest,0.9931972789115646,"{'clf__max_depth': None, 'clf__n_estimators': 100}",0.6389269828796387,0.4559946060180664
ExtraTrees,0.9863945578231292,"{'clf__max_depth': None, 'clf__n_estimators': 100}",0.4305839538574219,1.2178089618682861
GradientBoosting,0.9931972789115646,"{'clf__learning_rate': 0.05, 'clf__n_estimators': 100}",1.6894476413726807,3.0904417037963867
AdaBoost,0.9931972789115646,{'clf__n_estimators': 50},0.3566858768463135,2.6534664630889893
XGBoost,0.9931972789115646,{'clf__n_estimators': 100},2.068514585494995,0.49491047859191895
LightGBM,0.9863945578231292,"{'clf__max_depth': 5, 'clf__n_estimators': 100}",2361.1843581199646,1.5945384502410889
KNN,0.9659863945578231,{'clf__n_neighbors': 7},1.6393661499023438,12.372109651565552
GaussianNB,0.9659863945578231,{},0.6162919998168945,0.14860200881958008
MLP,0.9795918367346939,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,)}",2.5476720333099365,1.2763144969940186
