model,accuracy,best_params,training_time,shap_time
LogisticRegression,0.8407994486560992,{'clf__C': 10},17.55015802383423,0.04186820983886719
RidgeClassifier,0.7994486560992419,{'clf__alpha': 0.1},6.474695205688477,0.00251007080078125
SGDClassifier,0.8283942108890421,"{'clf__alpha': 0.001, 'clf__loss': 'log_loss'}",5.980360269546509,0.002855062484741211
SVC,0.8476912474155754,"{'clf__C': 1, 'clf__kernel': 'linear'}",42.17589020729065,2.4755029678344727
LinearSVC,0.8308063404548587,{'clf__C': 1},4.892253637313843,0.029514789581298828
DecisionTree,0.9645072363886974,{'clf__max_depth': None},5.983523845672607,0.7576501369476318
RandomForest,0.9875947622329428,"{'clf__max_depth': None, 'clf__n_estimators': 200}",9.360881090164185,250.48635125160217
ExtraTrees,0.9848380427291523,"{'clf__max_depth': None, 'clf__n_estimators': 200}",4.002439975738525,220.56065440177917
GradientBoosting,0.9865609924190214,"{'clf__learning_rate': 0.1, 'clf__n_estimators': 200}",119.49489045143127,1795.7716710567474
AdaBoost,0.9421088904203997,{'clf__n_estimators': 100},7.5099852085113525,4403.476760625839
XGBoost,0.9875947622329428,{'clf__n_estimators': 100},6956.771426439285,96.40358996391296
LightGBM,0.9865609924190214,"{'clf__max_depth': 5, 'clf__n_estimators': 200}",9317.114154577255,105.88486003875732
KNN,0.7084769124741558,{'clf__n_neighbors': 7},1.7074718475341797,391.21769762039185
GaussianNB,0.8242591316333563,{},1.2205734252929688,89.54840850830078
MLP,0.9493452791178497,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,)}",10.861014127731323,141.15774059295654
