model,accuracy,best_params,training_time,shap_time
LogisticRegression,0.9943820224719101,{'clf__C': 1},9.131672143936157,0.0009016990661621094
RidgeClassifier,0.9943820224719101,{'clf__alpha': 0.1},4.8167335987091064,0.0007085800170898438
SGDClassifier,0.9887640449438202,"{'clf__alpha': 0.0001, 'clf__loss': 'log_loss'}",4.827522277832031,0.0005643367767333984
SVC,0.9831460674157303,"{'clf__C': 0.1, 'clf__kernel': 'linear'}",4.344825267791748,0.0009427070617675781
LinearSVC,0.9943820224719101,{'clf__C': 0.1},4.332570314407349,0.0008015632629394531
DecisionTree,0.9831460674157303,{'clf__max_depth': 3},7.106407165527344,0.005459785461425781
RandomForest,1.0,"{'clf__max_depth': None, 'clf__n_estimators': 100}",5.432771921157837,2.3555359840393066
ExtraTrees,1.0,"{'clf__max_depth': None, 'clf__n_estimators': 200}",4.054486989974976,8.337883472442627
GradientBoosting,0.9887640449438202,"{'clf__learning_rate': 0.1, 'clf__n_estimators': 200}",9.672507524490356,38.67386293411255
AdaBoost,0.9943820224719101,{'clf__n_estimators': 100},2.9397451877593994,75.03306198120117
XGBoost,1.0,{'clf__n_estimators': 100},468.76340413093567,0.4413106441497803
LightGBM,0.9943820224719101,"{'clf__max_depth': 5, 'clf__n_estimators': 100}",1877.265215396881,2.3412508964538574
CatBoost,1.0,"{'clf__depth': 4, 'clf__iterations': 200}",42.72673940658569,1.9928662776947021
KNN,0.9662921348314607,{'clf__n_neighbors': 7},8.80186939239502,746.4678168296814
GaussianNB,0.9775280898876404,{},16.287220001220703,8.293047189712524
MLP,1.0,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50, 50)}",54.08003234863281,696.1911106109619
