Scorer_1,Scorer_2,Subject
-4.185857481445914e-05,-3.11351227146172e-05,5.103089008888848e-05
4.4447765009167806e-05,-3.113512271461719e-05,5.103089008888852e-05
-8.50117447262722e-05,-3.1135122714617065e-05,5.103089008888872e-05
1.2945950973550116e-06,-3.113512271461658e-05,5.103089008888921e-05
8.760093492098065e-05,-3.113512271461739e-05,5.103089008888823e-05
-4.185857481445892e-05,3.9626519818603624e-05,5.1030890088889046e-05
4.4447765009168185e-05,3.96265198186038e-05,5.103089008888933e-05
-8.501174472627199e-05,3.962651981860376e-05,5.103089008888937e-05
1.2945950973543069e-06,3.9626519818603326e-05,5.1030890088888775e-05
8.760093492098109e-05,3.962651981860365e-05,5.103089008888883e-05
-4.185857481445876e-05,-6.651594398122683e-05,5.103089008888926e-05
4.444776500916759e-05,-6.651594398122752e-05,5.10308900888886e-05
-8.501174472627237e-05,-6.651594398122729e-05,5.103089008888883e-05
1.2945950973544695e-06,-6.651594398122718e-05,5.103089008888894e-05
8.760093492098136e-05,-6.65159439812268e-05,5.1030890088889046e-05
-4.185857481445946e-05,4.245698551993076e-06,5.103089008888875e-05
4.444776500916802e-05,4.2456985519935775e-06,5.1030890088889086e-05
-8.501174472627215e-05,4.245698551993591e-06,5.1030890088889154e-05
1.294595097354849e-06,4.245698551993862e-06,5.103089008888948e-05
8.760093492098065e-05,4.245698551993103e-06,5.1030890088888504e-05
-4.185857481445887e-05,7.500734108521352e-05,5.1030890088889236e-05
4.4447765009167806e-05,7.500734108521326e-05,5.103089008888884e-05
-8.501174472627258e-05,7.5007341085213e-05,5.103089008888861e-05
1.2945950973547405e-06,7.50073410852136e-05,5.1030890088889046e-05
8.760093492098163e-05,7.500734108521398e-05,5.103089008888926e-05
-4.185857481445868e-05,-3.1135122714616605e-05,4.5578871916999785e-05
4.444776500916729e-05,-3.113512271461719e-05,4.5578871916998796e-05
-8.50117447262728e-05,-3.1135122714617065e-05,4.557887191699892e-05
1.2945950973544153e-06,-3.113512271461655e-05,4.5578871916999406e-05
8.760093492098152e-05,-3.113512271461674e-05,4.5578871916999894e-05
-4.185857481445895e-05,3.962651981860308e-05,4.5578871916999216e-05
4.444776500916794e-05,3.9626519818603475e-05,4.5578871916999284e-05
-8.501174472627215e-05,3.96265198186036e-05,4.5578871916999406e-05
1.2945950973540358e-06,3.962651981860303e-05,4.557887191699862e-05
8.760093492098152e-05,3.962651981860327e-05,4.5578871916999406e-05
-4.185857481445846e-05,-6.65159439812271e-05,4.557887191699973e-05
4.4447765009167454e-05,-6.651594398122768e-05,4.557887191699863e-05
-8.501174472627247e-05,-6.65159439812274e-05,4.5578871916998864e-05
1.2945950973542526e-06,-6.651594398122737e-05,4.5578871916998864e-05
8.760093492098174e-05,-6.651594398122723e-05,4.557887191699957e-05
-4.1858574814459165e-05,4.245698551992805e-06,4.5578871916999216e-05
4.4447765009168104e-05,4.245698551993523e-06,4.557887191699926e-05
-8.501174472627231e-05,4.245698551993483e-06,4.557887191699919e-05
1.2945950973547947e-06,4.2456985519937266e-06,4.557887191699946e-05
8.760093492098109e-05,4.245698551992886e-06,4.55788719169993e-05
-4.185857481445862e-05,7.500734108521336e-05,4.557887191699981e-05
