Scorer_1,Scorer_2,Subject
-1.1076427933416825e-05,-3.602385026022354e-05,6.372474597180397e-05
1.1761567805586916e-05,-3.602385026022344e-05,6.372474597180404e-05
-2.249542580291866e-05,-3.602385026022354e-05,6.372474597180408e-05
3.425699360851337e-07,-3.602385026022339e-05,6.372474597180419e-05
2.3180565675088576e-05,-3.602385026022353e-05,6.372474597180394e-05
-1.107642793341673e-05,4.584853669482991e-05,6.372474597180406e-05
1.1761567805586889e-05,4.584853669482984e-05,6.372474597180404e-05
-2.249542580291858e-05,4.5848536694829866e-05,6.372474597180416e-05
3.425699360849575e-07,4.5848536694829785e-05,6.372474597180406e-05
2.318056567508863e-05,4.584853669482985e-05,6.3724745971804e-05
-1.1076427933416757e-05,-7.696004373774993e-05,6.372474597180415e-05
1.1761567805586916e-05,-7.696004373774993e-05,6.372474597180421e-05
-2.249542580291854e-05,-7.696004373774991e-05,6.372474597180432e-05
3.425699360851066e-07,-7.696004373774985e-05,6.37247459718043e-05
2.3180565675088576e-05,-7.696004373775e-05,6.372474597180416e-05
-1.1076427933416838e-05,4.91234321730318e-06,6.372474597180389e-05
1.1761567805586997e-05,4.912343217303329e-06,6.372474597180412e-05
-2.2495425802918716e-05,4.912343217303146e-06,6.372474597180402e-05
3.425699360851337e-07,4.912343217303329e-06,6.372474597180419e-05
2.3180565675088658e-05,4.9123432173032885e-06,6.372474597180404e-05
-1.1076427933416744e-05,8.678473017235648e-05,6.372474597180406e-05
1.1761567805586943e-05,8.678473017235648e-05,6.372474597180405e-05
-2.2495425802918675e-05,8.678473017235638e-05,6.372474597180405e-05
3.4256993608501173e-07,8.67847301723564e-05,6.372474597180404e-05
2.3180565675088685e-05,8.678473017235651e-05,6.372474597180402e-05
-1.1076427933416784e-05,-3.602385026022332e-05,5.691654661584214e-05
1.176156780558693e-05,-3.602385026022329e-05,5.691654661584217e-05
-2.2495425802918594e-05,-3.602385026022332e-05,5.691654661584227e-05
3.4256993608512015e-07,-3.6023850260223296e-05,5.6916546615842306e-05
2.3180565675088617e-05,-3.6023850260223343e-05,5.69165466158421e-05
-1.1076427933416811e-05,4.5848536694829846e-05,5.691654661584196e-05
1.1761567805586997e-05,4.584853669482996e-05,5.691654661584213e-05
-2.2495425802918675e-05,4.5848536694829805e-05,5.691654661584204e-05
3.4256993608512015e-07,4.58485366948299e-05,5.69165466158422e-05
2.31805656750887e-05,4.584853669482993e-05,5.691654661584205e-05
-1.1076427933416676e-05,-7.696004373774993e-05,5.691654661584208e-05
1.1761567805586794e-05,-7.696004373775017e-05,5.6916546615841954e-05
-2.2495425802918472e-05,-7.696004373774991e-05,5.691654661584223e-05
3.4256993608501173e-07,-7.69600437377501e-05,5.691654661584209e-05
2.318056567508851e-05,-7.696004373775019e-05,5.691654661584194e-05
-1.1076427933416703e-05,4.912343217303309e-06,5.691654661584198e-05
1.1761567805586821e-05,4.912343217303126e-06,5.69165466158419e-05
-2.2495425802918594e-05,4.912343217303255e-06,5.6916546615842096e-05
3.4256993608503883e-07,4.912343217303187e-06,5.691654661584206e-05
2.318056567508859e-05,4.912343217303173e-06,5.691654661584191e-05
-1.107642793341673e-05,8.678473017235654e-05,5.69165466158421e-05
1.1761567805586957e-05,8.678473017235653e-05,5.6916546615842096e-05
-2.2495425802918607e-05,8.678473017235648e-05,5.691654661584212e-05
3.4256993608503883e-07,8.678473017235642e-05,5.691654661584209e-05
2.3180565675088726e-05,8.678473017235654e-05,5.691654661584205e-05
-1.1076427933416662e-05,-3.602385026022332e-05,5.0108347259880135e-05
1.1761567805586821e-05,-3.602385026022353e-05,5.010834725987995e-05
-2.2495425802918458e-05,-3.6023850260223296e-05,5.0108347259880284e-05
3.4256993608503883e-07,-3.602385026022339e-05,5.0108347259880094e-05
2.3180565675088576e-05,-3.6023850260223506e-05,5.010834725987995e-05
-1.107642793341669e-05,4.5848536694829975e-05,5.01083472598801e-05
1.1761567805586808e-05,4.584853669482979e-05,5.010834725987995e-05
-2.249542580291854e-05,4.584853669482995e-05,5.0108347259880196e-05
